title,description,category,difficulty,image_query
Explore a city by neighborhood cafés,Take time to explore a city by neighborhood cafés. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,city neighborhood cafés travel destination
Take a river cruise through a city,"Make time to take a river cruise through a city. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,river cruise city travel destination
Visit a rooftop viewpoint in a new city,Make time to visit a rooftop viewpoint in a new city. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,rooftop viewpoint city travel destination
Walk an entire historic city wall,"Walk an entire historic city wall. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,entire historic city wall travel destination
Take a local cooking class abroad,Make time to take a local cooking class abroad. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,cooking class abroad travel destination
Visit an open-air market at dawn,"Make time to visit an open-air market at dawn. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,open air market dawn travel destination
Explore a city in the rain,Take time to explore a city in the rain. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,city rain travel destination
Spend an afternoon in a train-station town,"Set aside time to spend an afternoon in a train-station town. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,afternoon train station town travel destination
Visit a thermal spa while traveling,Make time to visit a thermal spa while traveling. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,thermal spa while traveling travel destination
Stay one night in a historic hotel,"Book a chance to stay one night in a historic hotel. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,night historic hotel travel destination
Book a room with an unforgettable view,Book a room with an unforgettable view. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,room unforgettable view travel destination
Take a mountain railway,"Make time to take a mountain railway. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,mountain railway travel destination
Visit a village reachable only by boat,Make time to visit a village reachable only by boat. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Medium,village reachable boat travel destination
Travel to see autumn colors,"Plan a chance to travel to see autumn colors. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,see autumn colors travel destination
Travel to see spring blossoms,Plan a chance to travel to see spring blossoms. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,see spring blossoms travel destination
Visit a desert landscape,"Make time to visit a desert landscape. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,desert landscape travel destination
See the ocean from a new coastline,Make a plan to see the ocean from a new coastline. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,ocean coastline travel destination
Visit a black-sand beach,"Make time to visit a black-sand beach. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Easy,black sand beach travel destination
Explore a volcanic island,Take time to explore a volcanic island. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,volcanic island travel destination
Take a winter city break,"Make time to take a winter city break. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,winter city break travel destination
Spend Christmas in another country,Set aside time to spend christmas in another country. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Medium,christmas another country travel destination
Celebrate New Year somewhere new,"Celebrate new Year somewhere new. Plan the essentials, then leave enough space to explore at a slower pace.",Travel,Medium,year travel destination
Visit a place from your favorite movie,Make time to visit a place from your favorite movie. Focus on experiencing the place rather than checking off as many sights as possible.,Travel,Easy,place favorite movie travel destination
Retrace a route from a favorite book,"Retrace a route from a favorite book. Keep the plan simple enough to leave room for discovery, local food, and a few unplanned moments.",Travel,Easy,route favorite book travel destination
Take a trip based around one great meal,Make time to take a trip based around one great meal. Use the trip as an excuse to notice the details you usually miss when you already know a place.,Travel,Easy,trip based around great meal travel destination
Run your first 5K,"Set yourself the goal to run your first 5K. Pick a level that challenges you without sacrificing good form, and treat completion as the win.",Fitness,Medium,5k fitness exercise
Run a 10K race,"Set yourself the goal to run a 10K race. Warm up properly, move with control, and record the result so you can remember the milestone.",Fitness,Medium,10k race fitness exercise
Finish a half marathon,Finish a half marathon. Focus on technique first and intensity second; scale the session to your current fitness level.,Fitness,Hard,finish half marathon fitness exercise
Complete a full marathon,Set yourself the goal to complete a full marathon. Give it a focused attempt and notice what your body can do today rather than comparing yourself with anyone else.,Fitness,Hard,marathon fitness exercise
Try a beginner strength-training session,"Give a beginner strength-training session a proper try. Pick a level that challenges you without sacrificing good form, and treat completion as the win.",Fitness,Medium,strength training session fitness exercise
Do your first unassisted pull-up,"Do your first unassisted pull-up. Warm up properly, move with control, and record the result so you can remember the milestone.",Fitness,Medium,unassisted pull fitness exercise
Complete 50 push-ups in one workout,Set yourself the goal to complete 50 push-ups in one workout. Focus on technique first and intensity second; scale the session to your current fitness level.,Fitness,Medium,50 push ups workout fitness exercise
Hold a plank for two minutes,Hold a plank for two minutes. Give it a focused attempt and notice what your body can do today rather than comparing yourself with anyone else.,Fitness,Medium,plank two minutes fitness exercise
Learn to do a handstand,"Learn the basics of do a handstand. Pick a level that challenges you without sacrificing good form, and treat completion as the win.",Fitness,Medium,handstand fitness exercise
Take a yoga class,"Make time to take a yoga class. Warm up properly, move with control, and record the result so you can remember the milestone.",Fitness,Easy,yoga class fitness exercise
Try hot yoga,Give hot yoga a proper try. Focus on technique first and intensity second; scale the session to your current fitness level.,Fitness,Easy,hot yoga fitness exercise
Take a Pilates class,Make time to take a Pilates class. Give it a focused attempt and notice what your body can do today rather than comparing yourself with anyone else.,Fitness,Easy,pilates class fitness exercise
Try reformer Pilates,"Give reformer Pilates a proper try. Pick a level that challenges you without sacrificing good form, and treat completion as the win.",Fitness,Easy,reformer pilates fitness exercise
Join a spin class,"Join a spin class. Warm up properly, move with control, and record the result so you can remember the milestone.",Fitness,Medium,spin class fitness exercise
Take a boxing class,Make time to take a boxing class. Focus on technique first and intensity second; scale the session to your current fitness level.,Fitness,Medium,boxing class fitness exercise
Try kickboxing,Give kickboxing a proper try. Give it a focused attempt and notice what your body can do today rather than comparing yourself with anyone else.,Fitness,Medium,kickboxing fitness exercise
Take a Muay Thai beginner class,"Make time to take a Muay Thai beginner class. Pick a level that challenges you without sacrificing good form, and treat completion as the win.",Fitness,Medium,muay thai class fitness exercise
Try Brazilian jiu-jitsu,"Give brazilian jiu-jitsu a proper try. Warm up properly, move with control, and record the result so you can remember the milestone.",Fitness,Medium,brazilian jiu jitsu fitness exercise
Take a dance-fitness class,Make time to take a dance-fitness class. Focus on technique first and intensity second; scale the session to your current fitness level.,Fitness,Easy,dance fitness class fitness exercise
Try indoor rowing,Give indoor rowing a proper try. Give it a focused attempt and notice what your body can do today rather than comparing yourself with anyone else.,Fitness,Medium,indoor rowing fitness exercise
Swim 1 kilometer without stopping,"Swim 1 kilometer without stopping. Pick a level that challenges you without sacrificing good form, and treat completion as the win.",Fitness,Medium,1 kilometer stopping fitness exercise
Learn proper freestyle swimming technique,"Spend a focused session learning proper freestyle swimming technique. Warm up properly, move with control, and record the result so you can remember the milestone.",Fitness,Medium,proper freestyle swimming technique fitness exercise
Try an aqua fitness class,Give an aqua fitness class a proper try. Focus on technique first and intensity second; scale the session to your current fitness level.,Fitness,Easy,aqua fitness class fitness exercise
Take a kettlebell class,Make time to take a kettlebell class. Give it a focused attempt and notice what your body can do today rather than comparing yourself with anyone else.,Fitness,Medium,kettlebell class fitness exercise
Learn the basic barbell lifts,"Spend a focused session learning the basic barbell lifts. Pick a level that challenges you without sacrificing good form, and treat completion as the win.",Fitness,Medium,barbell lifts fitness exercise
Complete a full-body mobility session,"Set yourself the goal to complete a full-body mobility session. Warm up properly, move with control, and record the result so you can remember the milestone.",Fitness,Easy,body mobility session fitness exercise
Touch your toes with straight legs,Work toward touching your toes with straight legs. Focus on technique first and intensity second; scale the session to your current fitness level.,Fitness,Medium,toes straight legs fitness exercise
Hold a deep squat comfortably for one minute,Hold a deep squat comfortably for one minute. Give it a focused attempt and notice what your body can do today rather than comparing yourself with anyone else.,Fitness,Medium,deep squat comfortably minute fitness exercise
Do a 60-second dead hang,"Do a 60-second dead hang. Pick a level that challenges you without sacrificing good form, and treat completion as the win.",Fitness,Medium,60 second dead hang fitness exercise
Climb 100 flights of stairs in a day,"Climb 100 flights of stairs in a day. Warm up properly, move with control, and record the result so you can remember the milestone.",Fitness,Medium,100 flights stairs day fitness exercise
"Walk 20,000 steps in one day","Walk 20,000 steps in one day. Focus on technique first and intensity second; scale the session to your current fitness level.",Fitness,Medium,20 000 steps day fitness exercise
Cycle 50 kilometers,Cycle 50 kilometers. Give it a focused attempt and notice what your body can do today rather than comparing yourself with anyone else.,Fitness,Medium,50 kilometers fitness exercise
Complete a 100-kilometer bike ride,"Set yourself the goal to complete a 100-kilometer bike ride. Pick a level that challenges you without sacrificing good form, and treat completion as the win.",Fitness,Hard,100 kilometer bike ride fitness exercise
Try a beginner HIIT class,"Give a beginner HIIT class a proper try. Warm up properly, move with control, and record the result so you can remember the milestone.",Fitness,Medium,hiit class fitness exercise
Complete a bootcamp workout,Set yourself the goal to complete a bootcamp workout. Focus on technique first and intensity second; scale the session to your current fitness level.,Fitness,Medium,bootcamp workout fitness exercise
Take a functional fitness class,Make time to take a functional fitness class. Give it a focused attempt and notice what your body can do today rather than comparing yourself with anyone else.,Fitness,Medium,functional fitness class fitness exercise
Try a barre class,"Give a barre class a proper try. Pick a level that challenges you without sacrificing good form, and treat completion as the win.",Fitness,Easy,barre class fitness exercise
